"","Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","X3PAr","TS.","eFG.","TOV.","ORB.","FT.FGA","eFG..1","TOV..1","DRB.","FT.FGA.1","Arena","Attend.","Attend..G","Year"
"220",10,"Minnesota Timberwolves",24.2,46,36,48,34,2.63,-0.1,2.53,114.3,111.7,2.6,100.9,0.254,0.454,0.573,0.539,12.4,24.4,0.198,0.535,14.2,74.9,0.227,"Target Center",657148,16028,2022
"221",11,"Denver Nuggets",27.7,48,34,47,35,2.3,-0.15,2.16,114.5,112.1,2.4,97.8,0.244,0.416,0.59,0.556,13.2,21.9,0.194,0.537,11.7,78.3,0.188,"Ball Arena",695262,16958,2022
"222",12,"Toronto Raptors",24.8,48,34,47,35,2.29,0.08,2.38,112.9,110.5,2.4,96,0.234,0.375,0.543,0.51,11,28.4,0.177,0.535,14.4,75.6,0.199,"Scotiabank Arena",547343,13350,2022
"223",13,"Cleveland Cavaliers",24.7,44,38,47,35,2.12,-0.08,2.04,111.9,109.7,2.2,96.1,0.261,0.387,0.571,0.538,13.2,24,0.198,0.52,12.3,76.5,0.172,"Rocket Mortgage Fieldhouse",758228,18493,2022
"224",14,"Atlanta Hawks",26.1,43,39,45,37,1.56,-0.01,1.55,116.5,114.9,1.6,97.7,0.253,0.39,0.581,0.543,10.8,23,0.205,0.543,11.5,76.9,0.177,"State Farm Arena",672742,16408,2022
"225",15,"Brooklyn Nets",29.1,44,38,43,39,0.78,0.04,0.82,113.6,112.8,0.8,99,0.246,0.359,0.576,0.54,12.5,23.9,0.198,0.521,11.7,75.1,0.201,"Barclays Center",711539,17355,2022
"226",16,"Charlotte Hornets",25.5,43,39,42,40,0.44,0.09,0.53,114.1,113.7,0.4,100,0.234,0.418,0.572,0.544,11.6,23.3,0.173,0.544,13.1,74.8,0.187,"Spectrum Center",700755,17092,2022
"227",17,"San Antonio Spurs",24.5,34,48,41,41,0.12,-0.1,0.02,112.4,112.3,0.1,100,0.22,0.345,0.556,0.527,11.1,23.7,0.166,0.532,12.1,75.1,0.176,"AT&T Center",615588,15014,2022
"228",18,"Los Angeles Clippers",27.5,42,40,41,41,0.02,0.06,0.09,110.1,110.1,0,98,0.224,0.391,0.564,0.531,12.5,20.6,0.178,0.514,12,74.4,0.167,"Crypto.com Arena",694005,16927,2022
"229",19,"New York Knicks",26,37,45,41,41,-0.12,0.11,-0.01,110.4,110.5,-0.1,95.9,0.28,0.428,0.55,0.513,12,25.1,0.208,0.521,11.7,78.8,0.198,"Madison Square Garden (IV)",763484,18622,2022
"230",20,"Chicago Bulls",26.3,46,36,40,42,-0.39,0.02,-0.38,113.2,113.6,-0.4,98.3,0.248,0.332,0.579,0.541,11.8,20.4,0.201,0.541,11.9,78.3,0.199,"United Center",856148,20882,2022
"231",21,"New Orleans Pelicans",25.6,36,46,38,44,-0.99,0.15,-0.84,112,113,-1,97.2,0.264,0.365,0.557,0.517,12.5,26.9,0.208,0.547,13,78.2,0.196,"Smoothie King Center",635941,15511,2022
"232",22,"Los Angeles Lakers",30.2,33,49,33,49,-3.05,-0.03,-3.08,110.3,113.3,-3,100.1,0.259,0.388,0.567,0.537,12.8,21.1,0.19,0.54,12.2,75.8,0.192,"Crypto.com Arena",764631,18650,2022
"233",23,"Washington Wizards",25.9,35,47,32,50,-3.38,0.15,-3.23,111.1,114.5,-3.4,97,0.252,0.356,0.568,0.532,12.1,20.9,0.197,0.529,10.7,76.9,0.202,"Capital One Arena",637215,15542,2022
"234",24,"Indiana Pacers",26,25,57,32,50,-3.48,0.22,-3.26,112.6,116.1,-3.5,98,0.239,0.395,0.564,0.531,12.7,25.5,0.184,0.552,11.9,76.2,0.204,"Gainbridge Fieldhouse",588743,14360,2022
"235",25,"Sacramento Kings",25.8,30,52,28,54,-5.46,0.2,-5.26,109.9,115.3,-5.4,99.8,0.264,0.377,0.561,0.525,12.5,21.3,0.203,0.551,11.9,76,0.176,"Golden 1 Center",577583,14087,2022
"236",26,"Detroit Pistons",23.6,23,59,22,60,-7.72,0.37,-7.36,106,113.8,-7.8,98.4,0.249,0.391,0.533,0.494,12.6,23.4,0.194,0.541,13.1,75.6,0.226,"Little Caesars Arena",663556,16184,2022
"237",27,"Orlando Magic",23.3,22,60,21,61,-8,0.33,-7.67,104.5,112.5,-8,99.2,0.223,0.417,0.538,0.503,13,19.8,0.175,0.532,11.7,77.2,0.196,"Amway Center",622881,15192,2022
"238",28,"Oklahoma City Thunder",22.4,24,58,21,61,-8.1,0.2,-7.9,104.6,112.8,-8.2,98.6,0.223,0.419,0.53,0.497,12.5,21.8,0.169,0.533,11.8,76.1,0.169,"Paycom Center",595112,14515,2022
"239",29,"Houston Rockets",24.1,20,62,21,61,-8.48,0.22,-8.26,108.4,116.7,-8.3,100.9,0.284,0.448,0.565,0.534,14.5,21.7,0.202,0.554,12.3,74.4,0.206,"Toyota Center",638977,15585,2022
"240",30,"Portland Trail Blazers",25.6,27,55,20,62,-8.88,0.33,-8.55,107.8,116.9,-9.1,98.3,0.248,0.422,0.55,0.515,13,22.9,0.188,0.559,12.7,76.9,0.222,"Moda Center",705608,17210,2022
"241",1,"Boston Celtics",27.4,57,25,57,25,6.52,-0.15,6.38,118,111.5,6.5,98.5,0.243,0.48,0.6,0.566,12,22.1,0.197,0.528,11.3,78.5,0.18,"TD Garden",785396,19156,2023
"242",2,"Cleveland Cavaliers",25.4,51,31,55,27,5.38,-0.15,5.23,116.1,110.6,5.5,95.7,0.264,0.371,0.59,0.556,12.3,23.6,0.206,0.535,14.4,76.3,0.21,"Rocket Mortgage Fieldhouse",777280,18958,2023
"243",3,"Philadelphia 76ers",28.2,54,28,52,30,4.32,0.06,4.37,117.7,113.3,4.4,96.9,0.3,0.389,0.608,0.563,12.6,21.6,0.25,0.541,13,77.2,0.217,"Wells Fargo Center",839261,20470,2023
"244",4,"Memphis Grizzlies",24.4,51,31,51,31,3.94,-0.34,3.6,115.1,111.2,3.9,101.1,0.259,0.372,0.57,0.54,11.7,26.5,0.19,0.526,13.1,75.9,0.206,"FedEx Forum",707836,17264,2023
"245",5,"Milwaukee Bucks",29.8,58,24,50,32,3.63,-0.02,3.61,115.4,111.9,3.5,100.5,0.248,0.446,0.583,0.555,12.7,25,0.184,0.52,10.4,77.8,0.175,"Fiserv Forum",718786,17531,2023
"246",6,"Denver Nuggets",26.6,53,29,49,33,3.33,-0.29,3.04,117.6,114.2,3.4,98.1,0.259,0.361,0.601,0.573,13.1,24.8,0.194,0.543,12.2,76.4,0.201,"Ball Arena",788635,19235,2023
"247",7,"New York Knicks",24.5,47,35,48,34,2.93,0.06,2.99,117.8,114.8,3,97.1,0.285,0.4,0.577,0.541,11.4,28.3,0.217,0.536,11.4,77.1,0.21,"Madison Square Garden (IV)",795110,19393,2023
"248",8,"Sacramento Kings",25.4,48,34,47,35,2.65,-0.35,2.3,119.4,116.8,2.6,100.3,0.284,0.423,0.608,0.572,12,22.7,0.225,0.563,12.6,77.2,0.203,"Golden 1 Center",715491,17451,2023
"249",9,"Phoenix Suns",28.1,45,37,46,36,2.07,0.01,2.08,115.1,113,2.1,98.2,0.241,0.362,0.57,0.535,12,26.6,0.191,0.532,12.9,76,0.234,"Footprint Center",699911,17071,2023
"250",10,"New Orleans Pelicans",25.9,42,40,46,36,1.89,-0.26,1.63,114.4,112.5,1.9,99.1,0.279,0.344,0.582,0.543,12.9,24.7,0.221,0.543,13.4,77.4,0.212,"Smoothie King Center",687691,16773,2023
"251",11,"Golden State Warriors",27.3,44,38,45,37,1.8,-0.15,1.66,116.1,114.4,1.7,101.6,0.224,0.479,0.6,0.571,14.1,24.4,0.178,0.54,12.3,76,0.214,"Chase Center",740624,18064,2023
"252",12,"Toronto Raptors",25.8,41,41,45,37,1.48,0.12,1.59,115.5,114,1.5,97.1,0.257,0.351,0.555,0.517,10.3,27.8,0.201,0.565,15.3,76.7,0.223,"Scotiabank Arena",811261,19787,2023
"253",13,"Chicago Bulls",27.5,40,42,44,38,1.29,0.07,1.37,113.5,112.2,1.3,98.5,0.251,0.333,0.587,0.55,12.2,20.1,0.203,0.544,13.5,77.8,0.197,"United Center",841632,20528,2023
"254",14,"Oklahoma City Thunder",22.8,40,42,44,38,1.09,-0.12,0.96,115.2,114.2,1,101.1,0.256,0.369,0.57,0.531,11.2,24.7,0.207,0.547,14.4,72.9,0.222,"Paycom Center",636903,15534,2023
"255",15,"Brooklyn Nets",28,45,37,43,39,0.85,0.18,1.03,115,114.1,0.9,98.3,0.26,0.397,0.598,0.562,12.7,19.6,0.208,0.53,12.2,73.7,0.212,"Barclays Center",724439,17669,2023
"256",16,"Los Angeles Lakers",27.9,43,39,42,40,0.57,-0.15,0.43,114.5,113.9,0.6,101.3,0.299,0.351,0.582,0.542,12.3,22.8,0.232,0.535,10.9,76.3,0.171,"Crypto.com Arena",763168,18614,2023
"257",17,"Los Angeles Clippers",29.7,44,38,42,40,0.5,-0.19,0.31,115,114.5,0.5,98,0.278,0.387,0.588,0.551,12.8,22.9,0.217,0.543,11.7,76.6,0.195,"Crypto.com Arena",720543,17574,2023
"258",18,"Atlanta Hawks",24.9,41,41,42,40,0.29,0.02,0.32,116.6,116.3,0.3,100.7,0.244,0.331,0.579,0.541,11.2,25.1,0.2,0.552,12.4,75.8,0.206,"State Farm Arena",719787,17556,2023
"259",19,"Dallas Mavericks",27.8,38,44,41,41,0.07,-0.22,-0.14,116.8,116.7,0.1,96.6,0.298,0.487,0.599,0.565,11.4,18,0.225,0.549,11.9,75.5,0.226,"American Airlines Center",827282,20178,2023
"260",20,"Minnesota Timberwolves",25.8,42,40,41,41,-0.04,-0.18,-0.22,113.7,113.8,-0.1,101,0.271,0.381,0.592,0.56,13.6,21.5,0.205,0.54,13.3,74.3,0.225,"Target Center",687510,16769,2023
"261",21,"Miami Heat",27.7,44,38,40,42,-0.32,0.18,-0.13,113,113.3,-0.3,96.3,0.27,0.408,0.574,0.53,12.4,22.8,0.224,0.561,14.5,77.7,0.198,"Kaseya Center",807190,19688,2023
"262",22,"Utah Jazz",26.5,37,45,39,43,-0.94,-0.09,-1.03,115.8,116.7,-0.9,100.5,0.265,0.421,0.584,0.547,13.3,26.8,0.209,0.541,10.9,75.2,0.205,"Vivint Arena",728240,17762,2023
"263",23,"Washington Wizards",26.2,35,47,38,44,-1.21,0.15,-1.06,114.4,115.6,-1.2,98.6,0.258,0.365,0.585,0.55,12.7,22.6,0.202,0.54,11,76.1,0.194,"Capital One Arena",710481,17329,2023
"264",24,"Orlando Magic",23.1,34,48,35,47,-2.56,0.17,-2.39,111.6,114.2,-2.6,99.3,0.29,0.361,0.573,0.532,13.4,23.8,0.227,0.55,13.1,77.7,0.211,"Amway Center",728405,17766,2023
"265",25,"Indiana Pacers",24.5,35,47,33,49,-3.18,0.28,-2.91,114.6,117.7,-3.1,101.1,0.265,0.413,0.581,0.545,13,23.4,0.209,0.554,13,72.2,0.229,"Gainbridge Fieldhouse",641562,15648,2023
"266",26,"Portland Trail Blazers",25.1,33,49,31,51,-4.01,0.05,-3.96,114.8,118.8,-4,98.6,0.289,0.413,0.589,0.549,13.1,22.4,0.23,0.563,12.1,74.9,0.217,"Moda Center",767374,18716,2023
"267",27,"Charlotte Hornets",25.3,27,55,26,56,-6.24,0.35,-5.89,109.2,115.3,-6.1,100.8,0.261,0.36,0.55,0.516,12.3,23.8,0.195,0.544,12.5,75.5,0.211,"Spectrum Center",702052,17123,2023
"268",28,"Houston Rockets",22.1,22,60,23,59,-7.85,0.24,-7.62,111.4,119.3,-7.9,99,0.285,0.359,0.554,0.516,14,30.2,0.215,0.564,11.8,75.8,0.218,"Toyota Center",668865,16314,2023
"269",29,"Detroit Pistons",24.1,17,65,22,60,-8.22,0.49,-7.73,110.7,118.9,-8.2,99,0.295,0.372,0.561,0.52,13.3,24.9,0.227,0.557,11.9,74,0.231,"Little Caesars Arena",759715,18596,2023
"270",30,"San Antonio Spurs",23.9,22,60,19,63,-10.04,0.22,-9.82,110.2,120,-9.8,101.6,0.229,0.348,0.554,0.525,13,25.6,0.17,0.576,12,74.9,0.201,"AT&T Center",694434,15508,2023
"271",1,"Boston Celtics",28.2,64,18,66,16,11.34,-0.6,10.75,123.2,111.6,11.6,97.2,0.224,0.471,0.609,0.578,10.8,24.9,0.18,0.523,10.8,76.3,0.145,"TD Garden",785396,19156,2024
"272",2,"Oklahoma City Thunder",23.4,57,25,58,24,7.41,-0.05,7.36,119.5,112.1,7.4,99.8,0.24,0.383,0.608,0.573,11.4,21.1,0.198,0.53,13.6,73.8,0.202,"Paycom Center",715509,17451,2024
"273",3,"Minnesota Timberwolves",27.2,56,26,57,25,6.45,-0.07,6.39,115.6,109,6.6,97.1,0.27,0.384,0.594,0.559,13,23.2,0.209,0.515,12.9,76.9,0.197,"Target Center",738984,18024,2024
"274",4,"Denver Nuggets",27.1,57,25,54,28,5.26,-0.03,5.23,118.5,113,5.5,96.8,0.224,0.352,0.589,0.562,11.5,25.5,0.17,0.526,11.2,75.6,0.195,"Ball Arena",807062,19684,2024
"275",5,"New York Knicks",26.4,50,32,53,29,4.59,-0.23,4.36,118.2,113.4,4.8,95.2,0.246,0.404,0.574,0.54,11.9,29.4,0.192,0.543,12.3,76.1,0.176,"Madison Square Garden (IV)",808885,19729,2024
"276",6,"New Orleans Pelicans",26,49,33,52,30,4.41,0.05,4.46,117.4,112.9,4.5,97.9,0.261,0.373,0.591,0.558,11.8,24.4,0.202,0.541,12.9,76.9,0.186,"Smoothie King Center",692054,17301,2024
"277",7,"Los Angeles Clippers",30.4,51,31,49,33,3.28,0.13,3.41,118.8,115.4,3.4,97.2,0.256,0.383,0.599,0.561,12,24.4,0.211,0.541,11.7,74.8,0.183,"Crypto.com Arena",776782,18946,2024
"278",8,"Philadelphia 76ers",28.4,47,35,49,33,3.05,-0.54,2.51,116.9,113.8,3.1,97.5,0.264,0.373,0.574,0.532,10.7,24.8,0.218,0.537,13.1,74.3,0.215,"Wells Fargo Center",821714,20042,2024
"279",9,"Phoenix Suns",29.3,49,33,49,33,3.06,0.02,3.08,117.6,114.6,3,98.3,0.271,0.378,0.603,0.565,13.4,25,0.219,0.536,11.3,75.6,0.178,"Footprint Center",699911,17071,2024
"280",10,"Indiana Pacers",25.3,47,35,48,34,3.05,-0.3,2.75,121,118,3,101.7,0.222,0.38,0.606,0.578,11.3,23.8,0.173,0.556,12.1,74.1,0.228,"Gainbridge Fieldhouse",677554,16526,2024
"281",11,"Golden State Warriors",28.4,46,36,47,35,2.61,0.16,2.77,117.8,115.2,2.6,99.2,0.219,0.425,0.586,0.557,12.5,27.5,0.171,0.539,11.5,76.1,0.195,"Chase Center",740624,18064,2024
"282",12,"Milwaukee Bucks",30.2,49,33,47,35,2.62,-0.18,2.44,118.4,115.8,2.6,99.9,0.27,0.43,0.601,0.568,11.5,21.8,0.209,0.539,10.6,77.2,0.189,"Fiserv Forum",740850,17659,2024
"283",13,"Cleveland Cavaliers",26.2,48,34,47,35,2.41,-0.44,1.98,115.2,112.7,2.5,97.2,0.234,0.422,0.586,0.557,12.4,23.2,0.179,0.535,12.3,76.9,0.19,"Rocket Mortgage Fieldhouse",793167,19432,2024
"284",14,"Dallas Mavericks",26.5,50,32,46,36,2.21,0.09,2.3,117.6,115.4,2.2,100.1,0.251,0.441,0.592,0.562,11.2,22.2,0.19,0.548,12.1,75.2,0.184,"American Airlines Center",828897,20217,2024
"285",15,"Orlando Magic",24,47,35,46,36,2.02,-0.55,1.48,113.4,111.3,2.1,96.9,0.287,0.369,0.577,0.541,13.3,25.3,0.218,0.543,13.8,78.1,0.206,"Kia Center",773939,18849,2024
"286",16,"Miami Heat",28,46,36,46,36,1.76,-0.66,1.1,114,112.2,1.8,96.2,0.257,0.394,0.578,0.538,11.7,21.8,0.21,0.543,12.7,78.1,0.174,"Kaseya Center",809743,19750,2024
"287",17,"Sacramento Kings",26.4,46,36,45,37,1.74,0.55,2.29,116.9,115.2,1.7,98.8,0.229,0.432,0.582,0.556,11.6,24.5,0.171,0.555,12.5,78.4,0.213,"Golden 1 Center",735015,17927,2024
"288",18,"Houston Rockets",25.1,41,41,44,38,1.12,0.12,1.24,114.5,113.4,1.1,99,0.257,0.397,0.565,0.529,11.2,25.1,0.199,0.533,12.2,76,0.219,"Toyota Center",720045,17562,2024
"289",19,"Los Angeles Lakers",28,47,35,42,40,0.6,0.48,1.07,115.9,115.3,0.6,100.9,0.276,0.358,0.601,0.566,12.5,19.9,0.216,0.55,11.7,76.2,0.153,"Crypto.com Arena",793945,18925,2024
"290",20,"Chicago Bulls",28.1,39,43,37,45,-1.44,-0.33,-1.77,114.9,116.3,-1.4,96.3,0.236,0.358,0.568,0.534,11,25.1,0.187,0.556,12.7,76.4,0.195,"United Center",845620,20625,2024
"291",21,"Atlanta Hawks",26.2,36,46,36,46,-2.18,-0.19,-2.38,117.2,119.4,-2.2,100.1,0.251,0.408,0.576,0.539,11.6,27.1,0.2,0.572,12.4,75.2,0.192,"State Farm Arena",696418,16986,2024
"292",22,"Brooklyn Nets",26.1,32,50,34,48,-2.89,-0.13,-3.02,113.2,116.1,-2.9,96.9,0.234,0.412,0.561,0.531,11.8,25.2,0.177,0.543,11.4,76,0.193,"Barclays Center",720291,17568,2024
"293",23,"Utah Jazz",25.1,31,51,29,53,-4.89,0.68,-4.22,115.5,120.4,-4.9,99.5,0.251,0.406,0.579,0.539,13.6,28.1,0.209,0.567,10.9,75.2,0.182,"Delta Center",746446,18206,2024
"294",24,"San Antonio Spurs",23,22,60,26,56,-6.49,0.69,-5.8,110,116.4,-6.4,101.1,0.22,0.401,0.563,0.532,13.2,22.9,0.172,0.555,11.7,76.4,0.174,"Frost Bank Center",742522,18211,2024
"295",25,"Toronto Raptors",25.9,25,57,26,56,-6.44,-0.01,-6.45,112.3,118.8,-6.5,99.4,0.241,0.369,0.566,0.535,12.4,24.2,0.182,0.566,12.2,73.9,0.172,"Scotiabank Arena",800129,19515,2024
"296",26,"Memphis Grizzlies",24.4,27,55,24,58,-7,0.43,-6.57,107.2,114.3,-7.1,98.2,0.238,0.428,0.543,0.509,13.4,23.8,0.182,0.551,13.5,74.8,0.195,"FedEx Forum",681875,16631,2024
"297",27,"Detroit Pistons",23.8,14,68,20,62,-9.11,0.05,-9.06,109.7,118.8,-9.1,99.8,0.246,0.36,0.562,0.526,13.5,23.9,0.193,0.558,11.1,77.3,0.221,"Little Caesars Arena",726378,18159,2024
"298",28,"Washington Wizards",24.9,15,67,20,62,-9.29,0,-9.29,110.5,119.6,-9.1,102.7,0.221,0.389,0.567,0.538,12.2,20,0.169,0.562,12,72.5,0.201,"Capital One Arena",692851,16899,2024
"299",29,"Portland Trail Blazers",24.1,21,61,20,62,-9.02,0.74,-8.29,108.3,117.5,-9.2,97.2,0.228,0.37,0.539,0.503,13.4,27.5,0.181,0.558,12.8,74,0.216,"Moda Center",751395,18327,2024
"300",30,"Charlotte Hornets",25.1,21,61,18,64,-10.24,0.13,-10.12,109.3,119.8,-10.5,97.3,0.212,0.391,0.56,0.529,12.6,21.1,0.167,0.572,12.3,74.5,0.188,"Spectrum Center",674400,16449,2024
"301",1,"Oklahoma City Thunder",24.8,68,14,68,14,12.87,-0.16,12.7,120.3,107.5,12.8,100,0.22,0.419,0.593,0.56,10.3,24.2,0.18,0.513,14.9,74.6,0.211,"Paycom Center",754832,17973,2025
"302",2,"Boston Celtics",28.9,61,21,62,20,9.11,-0.83,8.28,120.6,111.1,9.5,95.7,0.212,0.536,0.591,0.561,10.8,25.7,0.169,0.522,11.6,76,0.154,"TD Garden",785396,19156,2025
"303",3,"Cleveland Cavaliers",26.6,64,18,62,20,9.54,-0.73,8.81,121.7,112.2,9.5,99.8,0.241,0.457,0.607,0.578,11.6,25.9,0.187,0.528,12.6,74.8,0.181,"Rocket Arena",796712,19432,2025
"304",4,"Minnesota Timberwolves",27.2,49,33,53,29,5,0.15,5.15,116.6,111.5,5.1,97.3,0.249,0.455,0.588,0.554,13,25.8,0.196,0.532,13.2,75.1,0.178,"Target Center",772249,18835,2025
"305",5,"Los Angeles Clippers",29.7,50,32,53,29,4.66,0.18,4.84,115.1,110.3,4.8,97.5,0.251,0.387,0.589,0.554,13.4,24.4,0.2,0.536,13.7,77.5,0.189,"Intuit Dome",679593,16575,2025
"306",6,"Memphis Grizzlies",24.7,48,34,52,30,4.85,-0.06,4.79,117.7,113,4.7,103.3,0.249,0.406,0.588,0.554,13.1,28.7,0.196,0.533,12.9,74.9,0.206,"FedEx Forum",683067,16660,2025
"307",7,"Houston Rockets",24.9,52,30,52,30,4.51,0.45,4.97,115.3,110.8,4.5,98.6,0.242,0.384,0.553,0.523,11.8,31.7,0.178,0.528,12.8,76.2,0.186,"Toyota Center",716853,17484,2025
"308",8,"New York Knicks",27.5,51,31,51,31,4.1,-0.51,3.59,118.5,114.3,4.2,96.7,0.232,0.382,0.589,0.556,11.9,26,0.186,0.549,13.1,74.5,0.176,"Madison Square Garden (IV)",811794,19800,2025
"309",9,"Denver Nuggets",27,50,32,50,32,3.89,0.08,3.97,119.9,116,3.9,99.8,0.259,0.356,0.604,0.573,12.5,26.7,0.2,0.542,11.3,74.6,0.173,"Ball Arena",811211,19786,2025
"310",10,"Golden State Warriors",28.6,48,34,49,33,3.3,0.25,3.56,115,111.7,3.3,98.7,0.244,0.469,0.568,0.536,12.3,27.3,0.187,0.541,14.1,75.6,0.189,"Chase Center",740624,18064,2025
"311",11,"Milwaukee Bucks",29.3,48,34,47,35,2.48,-0.36,2.12,115.9,113.4,2.5,99.3,0.268,0.424,0.598,0.568,12.2,19.3,0.201,0.533,11.4,76.2,0.174,"Fiserv Forum",732014,17437,2025
"312",12,"Indiana Pacers",25.8,50,32,46,36,2.23,-0.55,1.68,116.5,114.3,2.2,99.9,0.241,0.4,0.594,0.562,11.8,21.3,0.19,0.546,13.1,74.5,0.19,"Gainbridge Fieldhouse",685434,16737,2025
"313",13,"Detroit Pistons",25.8,44,38,46,36,1.9,-0.17,1.73,115,113.1,1.9,99.8,0.248,0.394,0.58,0.547,13,26.2,0.192,0.539,13.3,76,0.214,"Little Caesars Arena",781929,19071,2025
"314",14,"Los Angeles Lakers",27.9,50,32,44,38,1.22,0.23,1.45,115.9,114.7,1.2,97.6,0.271,0.425,0.593,0.557,12.7,23.3,0.213,0.539,12.2,74.5,0.178,"Crypto.com Arena",767626,18723,2025
"315",15,"Miami Heat",26.8,37,45,42,40,0.56,-0.45,0.11,113.5,112.9,0.6,96.2,0.232,0.429,0.576,0.544,12.4,22.3,0.183,0.543,12.5,75.8,0.157,"Kaseya Center",808337,19716,2025
"316",16,"Sacramento Kings",27.8,40,42,42,40,0.48,0.11,0.58,116.7,116.2,0.5,98.2,0.235,0.391,0.582,0.548,11.8,25.4,0.19,0.557,12.5,76.9,0.2,"Golden 1 Center",696409,16986,2025
"317",17,"Orlando Magic",24.9,41,41,41,41,-0.12,-0.58,-0.7,109.4,109.6,-0.2,96.1,0.269,0.411,0.55,0.51,12.9,25.3,0.208,0.538,15,77,0.22,"Kia Center",762121,18588,2025
"318",18,"Atlanta Hawks",24.9,40,42,38,44,-1.13,-0.28,-1.41,114.6,115.7,-1.1,102.6,0.252,0.41,0.579,0.546,13.2,26.3,0.196,0.56,13.8,76,0.202,"State Farm Arena",657613,16440,2025
"319",19,"Dallas Mavericks",27.5,39,43,38,44,-1.2,0.46,-0.74,114.8,116,-1.2,99.2,0.263,0.389,0.583,0.549,12.5,23.3,0.203,0.54,11.6,73.1,0.179,"American Airlines Center",803174,20079,2025
"320",20,"Chicago Bulls",25.2,39,43,37,45,-1.56,-0.27,-1.83,114.1,115.6,-1.5,102.8,0.214,0.457,0.585,0.553,12.7,22.3,0.173,0.539,10.8,76.6,0.178,"United Center",825659,20138,2025
"321",21,"San Antonio Spurs",26,34,48,34,48,-2.76,0.31,-2.45,114.4,117.2,-2.8,99.3,0.234,0.441,0.575,0.544,12.3,24.3,0.181,0.551,12,73,0.158,"Frost Bank Center",731474,17976,2025
"322",22,"Portland Trail Blazers",23.8,36,46,33,49,-2.98,0.31,-2.67,111.7,114.7,-3,98.8,0.246,0.418,0.555,0.521,13.8,29.2,0.187,0.543,13.6,72.5,0.204,"Moda Center",719369,17546,2025
"323",23,"Phoenix Suns",29.1,36,46,34,48,-3,0.45,-2.55,116.2,119.3,-3.1,97.1,0.241,0.44,0.595,0.561,12.8,22.6,0.195,0.552,10.9,74.1,0.191,"Footprint Center",699911,17071,2025
"324",24,"Toronto Raptors",24.5,30,52,30,52,-4.29,-0.11,-4.4,110.5,114.8,-4.3,99.7,0.232,0.373,0.553,0.522,13.3,27.3,0.173,0.541,13.2,73.9,0.222,"Scotiabank Arena",768573,18746,2025
"325",25,"Philadelphia 76ers",27.1,24,58,26,56,-6.23,-0.06,-6.29,111.9,118.2,-6.3,97.4,0.257,0.426,0.563,0.527,12.3,23.4,0.201,0.57,14.3,71.8,0.194,"Wells Fargo Center",813621,19844,2025
"326",26,"Brooklyn Nets",24.7,26,56,23,59,-7.11,0.16,-6.95,108.5,115.8,-7.3,96.4,0.24,0.458,0.552,0.516,13.7,24.5,0.189,0.557,13.7,75,0.218,"Barclays Center",713304,17398,2025
"327",27,"Utah Jazz",23.9,17,65,20,62,-9.34,0.83,-8.51,111.2,120.4,-9.2,100,0.252,0.449,0.568,0.533,14.9,26.9,0.195,0.559,10.3,74.1,0.185,"Delta Center",745175,18175,2025
"328",28,"Charlotte Hornets",25.1,19,63,20,62,-9.11,0.01,-9.1,107.3,116.6,-9.3,97.6,0.222,0.43,0.537,0.503,13.7,26.5,0.174,0.547,11.9,74.5,0.19,"Spectrum Center",703935,17169,2025
"329",29,"New Orleans Pelicans",25.9,21,61,20,62,-9.43,0.84,-8.59,110.4,119.9,-9.5,99.1,0.244,0.385,0.552,0.519,12.8,26.3,0.184,0.564,12.3,72.7,0.19,"Smoothie King Center",689400,16815,2025
"330",30,"Washington Wizards",23.5,18,64,15,67,-12.44,0.3,-12.14,106.8,119.1,-12.3,100.9,0.229,0.435,0.546,0.512,13.6,22.7,0.178,0.548,11.4,71.9,0.202,"Capital One Arena",663691,16084,2025
